Date Reported,Nature (Classification),Disposition,Date/Time Occurred,General Location
12/8/2024,Brandishing a Weapon,Report Filed,12/7/2024 2116,6500 Blk Pardall Road
12/8/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",12/7/2024 2303,Sabado Tarde Road/Camino Del Sur
12/8/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",12/7/2024 2303,Sabado Tarde Road/Camino Del Sur
12/8/2024,Petty Theft,Report Filed,12/7/2024 1700 - 12/8/2024 0300,South Hall
12/8/2024,Petty Theft,Report Filed,12/6/2024 1630 - 12/8/2024 1730,Portola Dining Commons Bike Racks
12/8/2024,Petty Theft Vandalism,Report Filed,11/17/2024 - 12/8/2024,Artificial Plume Lab
12/9/2024,Noise Ordinance,"Citation, 1",12/8/2024 0009,6600 Blk Del Playa Drive
12/9/2024,Public Intoxication,"Arrest, 1",12/8/2024 1622,Berkshire Terrace/Camino Del Sur
12/9/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",12/8/2024 1855,900 Blk Embarcadero Del Norte
12/9/2024,Battery,Report Filed,12/7/2024 1840,6500 Blk Segovia Road
12/9/2024,Vandalism,Report Filed,12/8/2024 - 12/9/2024,West Campus Family Housing
12/9/2024,Motor Vehicle Theft (Electric Bicycle) Petty Theft,Report Filed,12/6/2024 1200 - 12/8/2024 1400,San Clemente Villages Bike Racks
12/9/2024,Petty Theft Vandalism,Report Filed,12/5/2024 1800 - 12/9/2024 1200,San Clemente Villages Bike Racks
12/9/2024,Arson,Report Filed,12/9/2024 1655 - 12/9/2024 1758,Campus Point
12/10/2024,Grand Theft,Report Filed,12/9/2024 0838,6500 Blk Trigo Road
12/10/2024,Sexual Battery (Clery: Fondling),Report Filed,1/26/2023 0300 - 11/26/2023 0330,Campus Housing
12/11/2024,Petty Theft Motor Vehicle Theft (Electric Scooter) Vandalism,Report Filed,12/1/2024 1430 - 12/1/2024 1740,Davidson Library Bike Racks
12/12/2024,Battery,Report Filed,12/11/2024 0224,6500 Blk El Colegio Road
12/13/2024,Driving Under the Influence of Alcohol or Drug,"Arrest, 1",12/12/2024 2136,El Colegio Road
12/13/2024,Possession of Controlled Substance Possession of a Narcotic Controlled Substance Possession of Drug Paraphernalia,"Arrest, 1",12/11/2024 0020,El Greco Road/Embarcadero Del Norte
12/14/2024,No Crimes Reported,,,,
12/14/2024,Noise Ordinance,"Citation, 1",12/13/2024 0037,6500 Blk Del Playa Drive
12/14/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",12/13/2024 2302,Camino Del Sur/Del Playa Drive
